data,codigo,simbolo,tipo,compra,venda
21052024,220,A,USD,"5,1031","5,1037"
22052024,220,A,USD,"5,1496","5,1502"
23052024,220,A,USD,"5,1437","5,1443"
24052024,220,A,USD,"5,1502","5,1508"
27052024,220,A,USD,"5,1698","5,1704"
28052024,220,A,USD,"5,1532","5,1538"
29052024,220,A,USD,"5,1966","5,1972"
31052024,220,A,USD,"5,241","5,2416"
3062024,220,A,USD,"5,2367","5,2373"
4062024,220,A,USD,"5,2681","5,2687"
5062024,220,A,USD,"5,2835","5,2841"
6062024,220,A,USD,"5,2675","5,2681"
7062024,220,A,USD,"5,2796","5,2802"
10062024,220,A,USD,"5,366","5,3666"
11062024,220,A,USD,"5,3519","5,3524"
12062024,220,A,USD,"5,3885","5,3891"
13062024,220,A,USD,"5,3968","5,3974"
14062024,220,A,USD,"5,3624","5,363"
17062024,220,A,USD,"5,4124","5,413"
18062024,220,A,USD,"5,4068","5,4074"
19062024,220,A,USD,"5,4641","5,4647"
20062024,220,A,USD,"5,4248","5,4254"
21062024,220,A,USD,"5,441","5,4416"
24062024,220,A,USD,"5,3994","5,4"
25062024,220,A,USD,"5,4283","5,429"
26062024,220,A,USD,"5,5091","5,5097"
27062024,220,A,USD,"5,5223","5,5229"
28062024,220,A,USD,"5,5583","5,5589"
1072024,220,A,USD,"5,5887","5,5893"
2072024,220,A,USD,"5,6671","5,6677"
3072024,220,A,USD,"5,5857","5,5863"
4072024,220,A,USD,"5,4833","5,4839"
5072024,220,A,USD,"5,4964","5,497"
8072024,220,A,USD,"5,4714","5,472"
9072024,220,A,USD,"5,4381","5,4387"
10072024,220,A,USD,"5,3961","5,3967"
11072024,220,A,USD,"5,4094","5,41"
12072024,220,A,USD,"5,4523","5,4529"
15072024,220,A,USD,"5,4557","5,4563"
16072024,220,A,USD,"5,4268","5,4274"
17072024,220,A,USD,"5,4664","5,467"
18072024,220,A,USD,"5,542","5,5426"
19072024,220,A,USD,"5,5537","5,5543"
22072024,220,A,USD,"5,5592","5,5598"
23072024,220,A,USD,"5,5801","5,5807"
24072024,220,A,USD,"5,634","5,6346"
25072024,220,A,USD,"5,6396","5,6402"
26072024,220,A,USD,"5,6459","5,6465"
29072024,220,A,USD,"5,6473","5,6479"
30072024,220,A,USD,"5,6526","5,6532"
